sample_id,A1_cm2,A2_cm2,A3_cm2,A4_cm2,A5_cm2,A6_cm2,A7_cm2,A8_cm2,A9_cm2,A10_cm2,E_GPa,P2_kN,P4_kN,density_kg_m3,mass_kg,max_disp_mm,v_node2_mm,v_node4_mm,max_abs_stress_MPa,stress1_MPa,stress2_MPa,stress3_MPa,stress4_MPa,stress5_MPa,stress6_MPa,stress7_MPa,stress8_MPa,stress9_MPa,stress10_MPa,split
2131,70.9692,75.9268,102.851,8.31309,208.102,117.085,86.9737,164.198,124.865,11.6233,146.2,597.268,251.085,5008.77,5182.2,73.1531,-64.0657,-14.2135,467.586,147.265,27.4685,-97.0107,-467.586,2.84237,17.8127,65.1214,-38.5733,44.025,-253.756,train
2132,184.76,123.728,223.336,119.81,133.623,95.8817,139.24,4.93535,114.497,110.167,209.745,427.292,376.926,3840,4925.5,16.7559,-16.4556,-9.15028,99.5937,25.0081,16.2748,-53.5854,-18.8571,-14.3067,21.0014,78.1517,-99.5937,27.9054,-25.8492,train
2133,71.3327,200.855,104.36,126.584,114.062,101.105,40.8286,192.505,137.471,24.0594,153.342,270.699,399.581,7753.36,9051.54,23.6477,-23.0224,-11.3531,102.68,102.68,1.77033,-45.9214,-18.5759,19.8664,3.51694,72.2334,-33.9212,24.1899,-20.901,train
2134,15.1287,44.1609,60.098,202.129,162.042,122.471,24.4991,58.9581,163.532,52.9538,66.8609,510.182,537.268,4801.66,4523.29,257.883,-242.543,-118.047,640.132,640.132,23.4583,-182.931,-20.1153,3.18839,8.45868,340.115,-109.92,35.1614,-27.6664,train
2135,105.306,63.2391,117.283,71.0773,209.433,107.254,125.226,125.285,114.346,181.501,134.441,357.631,369.638,7357.22,9729.62,24.4387,-23.6522,-10.2407,66.3758,66.3758,26.1779,-63.3983,-27.0247,7.12703,15.435,43.5834,-38.5311,23.7566,-12.899,train
2136,9.01376,219.792,91.5725,164.702,23.2083,19.0009,12.0367,75.2968,136.891,56.3184,75.2345,347.071,225.879,7330.58,6193.89,209.165,-196.29,-95.1895,684.441,684.441,3.23602,-70.9987,-16.7543,-2.61888,37.4324,356.098,-50.6862,28.5079,-17.8602,train
2137,110.169,149.787,193.673,102.282,79.2206,104.97,160.438,212.896,118.478,161.969,202.189,487.623,493.05,7840.39,11934.6,16.859,-16.4568,-6.99081,81.7441,81.7441,14.491,-54.4913,-26.4529,17.9724,20.6779,50.0435,-27.4309,32.2962,-18.952,test
2138,77.4713,133.078,7.85749,77.1575,149.394,0.64873,24.2269,63.3856,183.206,191.411,72.9186,346.089,389.345,6176.19,6208.3,158.138,-144.801,-60.5627,462.622,137.355,0.344921,-462.622,-44.2599,25.2031,70.7559,10.1666,-160.199,26.3611,-0.339137,train
2139,12.9098,120.656,157.451,3.94249,83.8587,63.2513,220.731,34.2049,76.0431,4.19924,77.9181,249.536,216.196,6247.2,5233.07,115.56,-100.372,-13.1283,440.321,165.958,6.29394,-47.6692,-440.321,-24.909,12.0061,32.1001,14.5899,32.2845,-255.75,test
2140,104.58,16.6921,117.046,46.8677,24.3377,102.749,158.62,198.171,201.061,124.52,75.4692,504.303,425.195,7000.07,8815.87,59.5207,-55.9852,-21.0344,89.782,89.782,73.5047,-85.3653,-81.4225,21.7894,11.9413,44.1203,-31.0172,26.8413,-13.9349,train
