sample_id,r_inner_mm,wall_ratio_ro_ri,p_internal_MPa,p_external_MPa,E_GPa,poisson,yield_MPa,hoop_stress_inner_MPa,hoop_stress_outer_MPa,axial_stress_MPa,von_mises_inner_MPa,tresca_inner_MPa,radial_disp_inner_um,radial_disp_outer_um,safety_factor_vm,split
63,112.252,2.67015,12.3227,16.3971,70.7376,0.254875,655.769,-21.8009,-17.7265,-17.0618,8.20835,9.47819,-22.7106,-38.9765,79.8904,test
64,186.403,1.33395,28.3468,3.0691,205.557,0.277478,262.062,87.0706,61.7929,29.3619,99.9544,115.417,78.702,65.9229,2.62181,train
65,96.6123,2.64793,12.118,21.8178,181.156,0.297739,612.793,-34.7446,-25.0448,-23.4313,19.5952,22.6266,-12.8849,-16.3423,31.2725,train
66,40.5842,1.18327,119.877,13.8187,136.574,0.275744,563.082,622.355,516.297,251.239,642.792,742.232,174.175,158.521,0.875995,test
67,180.536,2.77491,107.338,23.5581,109.579,0.270256,890.721,85.2298,1.45027,-11.0539,166.768,192.567,193.134,49.3952,5.34107,train
68,21.2703,1.64981,68.2558,18.0316,102.936,0.277287,447.562,90.5298,40.3055,11.137,137.512,158.786,21.9796,14.3923,3.2547,train
69,32.211,1.49642,77.7921,11.2399,205.963,0.292105,654.055,162.718,96.1656,42.4629,208.288,240.51,27.0616,20.371,3.14015,train
70,91.2442,1.486,77.9951,11.813,181.215,0.28774,271.974,163.925,97.7429,42.965,209.509,241.92,87.6137,66.4264,1.29815,train
71,39.719,2.38117,9.63208,4.89129,150.021,0.285237,360.217,1.87985,-2.86095,-3.87612,9.96962,11.5119,1.51782,-0.227055,36.1315,train
72,46.5766,2.36902,92.6581,24.949,87.8066,0.344907,358.677,72.1208,4.41167,-10.2686,142.703,164.779,57.087,20.8079,2.51346,train
73,124.01,2.0101,120.458,1.34456,178.407,0.344583,773.339,196.12,77.0065,37.831,274.164,316.578,156.113,90.028,2.82071,train
74,77.3272,2.18863,129.037,7.25088,158.95,0.320847,557.374,178.801,57.0147,24.8819,266.595,307.838,103.242,54.6827,2.09071,train
75,99.2795,1.57504,48.4044,11.0772,196.003,0.291876,471.678,76.6672,39.34,14.1314,108.315,125.072,43.9004,30.6737,4.35468,train
76,61.87,2.55732,38.3136,1.22833,166.808,0.294796,703.543,49.2454,12.1602,5.46592,75.8283,87.559,21.857,10.3493,9.2781,test
77,120.164,1.7203,44.3507,24.2323,208.549,0.251341,540.433,16.421,-3.69737,-13.9648,52.6299,60.7718,17.907,5.85133,10.2686,train
78,37.2087,2.14605,83.2754,27.8514,106.219,0.272497,776.838,58.3166,2.89257,-12.4794,122.622,141.592,29.5688,10.4364,6.33521,test
79,121.829,1.80769,79.1987,17.404,87.1629,0.316517,332.005,98.8898,37.0952,9.84558,154.229,178.088,168.902,99.7708,2.15267,train
80,138.686,2.42534,8.42031,0.352511,147.774,0.256617,680.955,11.0202,2.95242,1.29995,16.836,19.4405,12.0574,6.16687,40.4464,train
81,99.8795,2.01411,29.4115,9.25284,112.842,0.334146,891.206,24.096,3.9373,-2.65777,46.3389,53.5075,30.8128,14.1143,19.2324,train
82,35.1029,1.91875,110.534,21.4994,185.352,0.284643,608.003,133.939,44.9045,11.7025,211.72,244.474,30.6939,17.3309,2.87172,train
83,81.1383,2.47993,48.1801,3.91592,151.593,0.251762,514.58,57.5381,13.2739,4.67898,91.5547,105.718,36.6586,17.3642,5.62046,test
84,189.844,2.6147,47.7049,12.0741,113.121,0.331026,270.981,35.7662,0.135315,-5.96938,72.2881,83.4711,89.8428,26.8033,3.74863,test
85,72.3713,2.34464,83.1365,23.7607,144.477,0.262816,892.036,62.0198,2.64406,-10.5583,125.709,145.156,43.4018,13.6987,7.09603,train
86,156.23,2.38224,55.1791,1.37491,77.891,0.276392,522.437,75.4467,21.6425,10.1338,113.125,130.626,176.299,91.8443,4.61822,train
87,168.042,2.94433,45.1605,3.12194,87.6548,0.341438,613.001,49.8798,7.84122,2.35964,82.3073,95.0403,123.64,45.7292,7.44772,train
88,115.373,1.29456,35.3879,16.7394,79.3917,0.26284,838.504,57.0909,38.4424,10.8515,80.089,92.4789,92.3371,75.2321,10.4696,train
89,37.6731,2.41497,69.5872,16.1371,180.611,0.264135,540.257,59.436,5.9859,-5.07561,111.737,129.023,16.5111,5.8377,4.83506,train
90,76.4436,2.11296,130.914,4.51392,168.188,0.339503,646.779,194.853,68.4525,31.9693,282.123,325.767,103.831,56.7879,2.29255,train
91,48.6976,2.44192,96.4302,12.5419,110.581,0.261559,890.453,105.152,21.2637,4.36092,174.575,201.582,56.9116,25.1674,5.10068,test
92,116.047,1.3137,68.562,20.9161,150.65,0.319162,266.938,158.02,110.374,44.729,196.226,226.582,127.583,104.002,1.36036,train
93,33.3843,2.25425,141.665,25.1309,96.4027,0.323803,662.768,148.504,31.9706,3.41983,251.294,290.169,66.929,30.4458,2.63742,train
94,88.5825,1.49907,95.9379,17.4932,83.0885,0.291023,253.252,186.744,108.299,45.4031,244.81,282.682,214.772,160.102,1.03448,train
95,184.879,1.65654,84.5601,10.2805,128.367,0.322167,303.774,149.176,74.8964,32.308,202.421,233.736,239.093,161.757,1.5007,train
96,192.273,2.7121,91.1109,1.05991,201.583,0.290088,256.049,117.329,27.278,13.1091,180.514,208.44,133.493,61.5224,1.41844,train
97,58.6949,2.1803,113.291,25.4323,196.533,0.342882,606.244,109.238,21.3795,-2.02637,192.716,222.529,44.4331,20.052,3.14579,train
98,111.089,1.52912,107.631,11.7208,133.65,0.317846,829.632,227.529,131.619,59.9494,290.257,335.16,201.719,147.805,2.85827,train
99,98.8744,2.56253,33.6211,0.332357,195.555,0.261676,294.263,44.9167,11.6279,5.64779,68.0157,78.5377,26.4113,13.2635,4.3264,train
100,189.777,1.23109,64.9358,16.2553,119.126,0.288025,462.897,221.265,172.584,78.1646,247.857,286.201,346.422,303.504,1.8676,train
101,21.1053,2.41954,121.562,1.58922,167.114,0.250466,745.101,167.814,47.8414,23.1261,250.606,289.375,24.3074,12.9706,2.97319,test
102,186.378,1.14465,131.112,1.64336,183.274,0.324863,898.296,962.526,833.057,415.707,947.118,1093.64,884.809,813.129,0.948452,train
103,194.381,2.4275,65.5619,14.4125,78.1758,0.255668,895.511,57.6451,6.49571,-3.95837,106.7,123.207,187.527,67.557,8.39276,train
104,59.8633,1.3074,57.7064,0.3236,175.204,0.257633,680.918,218.862,161.479,80.5777,239.515,276.568,72.7668,62.8979,2.8429,train
105,124.795,1.63752,27.4907,12.6401,141.061,0.315273,454.67,19.8745,5.02384,-3.80813,41.0195,47.3652,26.3126,14.7905,11.0842,test
106,53.5566,1.17974,140.642,16.0848,146.215,0.253229,528.954,744.297,619.74,301.828,766.379,884.939,257.676,236.538,0.690198,train
107,191.128,1.71009,38.1006,3.75147,97.4292,0.321098,792.732,66.2958,31.9467,14.0976,90.4099,104.396,145.173,96.0272,8.7682,train
108,144.873,1.87783,68.4674,11.7925,110.978,0.338736,892.95,89.7512,33.0762,10.6419,137.021,158.219,142.733,82.037,6.51687,train
109,182.862,2.551,64.8601,26.0776,140.096,0.330165,342.824,26.7883,-11.9943,-19.0359,79.3699,91.6484,71.1208,9.65832,4.31932,train
110,168.564,2.98876,144.509,17.8451,169.621,0.340115,754.24,140.753,14.0895,-1.87781,247.045,285.263,189.355,61.7719,3.05305,train
