sample_id,diameter_mm,length_mm,k_W_mK,h_W_m2K,T_base_C,T_inf_C,heat_rate_W,T_tip_C,fin_efficiency,fin_effectiveness,biot_number,split
975,17.8693,59.0761,250.211,100.65,208.315,32.1286,56.5655,180.644,0.894201,12.7191,0.00179704,train
976,19.4169,114.579,25.8708,443.803,130.43,5.0846,57.0816,5.29884,0.140846,3.46537,0.0832723,train
977,4.15859,69.6097,18.0181,120.082,72.5486,8.06155,1.26356,8.51374,0.176783,12.0133,0.00692875,train
978,7.10009,63.8132,100.483,244.126,53.8662,29.6798,3.5048,33.9288,0.405729,14.992,0.00431248,train
979,12.0684,66.5137,204.617,52.346,247.612,24.4817,27.1754,208.644,0.882583,20.3396,0.000771848,train
980,9.21441,59.3357,197.511,50.376,275.033,11.7288,20.8263,228.003,0.879944,23.5454,0.000587543,train
981,8.0843,56.2579,36.2768,29.1577,178.797,26.5737,4.64519,113.385,0.707073,20.3889,0.00162445,train
982,11.3375,32.5012,39.0335,6.64645,274.606,13.6627,2.12985,265.177,0.975737,12.1643,0.000482626,train
983,10.6103,133.796,15.4862,15.0353,151.838,1.89581,3.88573,23.8464,0.378958,19.4935,0.00257534,test
984,4.57602,86.7841,44.3657,246.363,154.215,22.4879,6.6963,23.0653,0.163237,12.5464,0.00635267,train
985,15.9781,14.5539,43.9226,433.363,195.526,19.8632,55.976,142.735,0.789752,3.66718,0.0394119,train
986,13.9433,34.9753,86.1252,275.671,113.837,3.85892,36.0663,66.6918,0.706105,7.79087,0.0111575,test
987,14.1887,148.772,30.7535,45.3469,250.999,25.507,22.2661,45.7208,0.320714,13.7718,0.00523041,train
988,9.54733,107.497,50.3259,99.4682,135.749,38.9944,9.99527,47.1911,0.315118,14.5073,0.00471753,train
989,11.7014,118.385,301.663,81.5527,262.061,8.72666,65.0243,152.671,0.705763,29.2669,0.00079085,train
990,3.04529,75.0685,259.671,46.8945,290.431,31.1662,6.22004,178.225,0.705196,70.2395,0.000137489,train
991,15.5746,65.4079,29.5793,84.9983,240.722,39.9733,29.3424,100.005,0.507132,9.02622,0.0111887,train
992,6.64439,52.2562,17.2731,491.704,291.944,36.4671,20.0305,36.9158,0.141678,4.5987,0.0472855,train
993,15.6851,118.482,43.9765,5.76408,51.7323,21.3045,0.910684,45.44,0.860875,26.8723,0.000513967,train
994,7.31825,45.2291,35.8333,8.7904,251.085,35.0989,1.8724,222.6,0.911522,23.4455,0.000448818,test
995,9.67827,63.7932,118.334,361.786,254.37,8.76459,74.6442,55.1844,0.417269,11.4188,0.00739742,train
996,3.92287,95.7736,66.311,12.2757,286.365,38.7586,2.36954,161.252,0.65378,64.4998,0.000181554,train
997,17.5543,94.434,99.3709,361.284,179.329,38.3949,96.902,54.8568,0.349201,7.86336,0.0159556,train
998,6.5298,116.982,101.259,312.047,238.933,29.7358,30.8194,32.1593,0.194027,14.098,0.00503065,train
999,2.46313,44.7849,18.0415,7.20474,213.647,11.134,0.363454,127.121,0.709054,52.2776,0.000245908,train
1000,14.2313,90.5148,162.044,98.1185,210.115,22.5507,53.0923,123.909,0.685918,18.1364,0.00215429,train
1001,2.49505,87.652,51.6885,141.001,86.9267,26.2043,1.01482,26.5587,0.171296,24.242,0.00170156,test
1002,10.1388,124.586,67.1489,18.4129,244.858,29.4721,10.5337,136.714,0.655976,32.8988,0.000695039,train
1003,13.6316,145.018,101.555,33.2254,90.3052,20.9856,9.0251,51.7089,0.616482,26.8499,0.00111495,train
1004,12.3313,38.0984,142.384,37.338,297.914,24.2526,15.5605,279.399,0.954553,12.7512,0.000808423,train
1005,17.6708,67.5014,379.063,11.3813,131.606,12.2955,5.35889,129.547,0.988447,16.0917,0.000132641,test
1006,18.8969,125.688,199.712,461.132,153.673,23.7475,159.881,38.3173,0.344681,9.51496,0.0109081,train
1007,4.41797,116.552,71.538,493.252,242.898,19.2701,19.3768,19.3113,0.107572,11.4592,0.00761542,test
1008,19.9406,114.95,305.167,82.285,271.177,30.0947,119.543,200.595,0.80205,19.2962,0.0013442,train
1009,7.3499,67.7754,56.2168,51.7724,296.339,30.0649,13.0124,137.48,0.58723,22.2473,0.00169221,test
1010,2.3703,80.2518,182.072,41.1781,261.101,4.6918,3.69656,106.085,0.581558,79.3413,0.000134019,train
1011,17.0977,137.919,220.08,288.701,76.5267,4.22952,63.1255,16.156,0.395976,13.1725,0.0056072,train
1012,19.3633,141.807,58.5346,123.31,275.2,5.48515,96.5579,30.8631,0.325446,9.85908,0.0101978,train
1013,8.38643,139.713,137.708,47.6585,132.294,15.5171,10.8311,52.3357,0.520887,35.2315,0.000725605,train
1014,11.8026,81.3026,49.483,350.408,256.54,26.7181,60.921,34.1981,0.242152,6.91444,0.0208947,train
1015,8.25299,49.7284,345.2,124.979,276.939,37.6706,34.8518,229.968,0.867923,21.7866,0.000746996,train
1016,9.9354,128.688,57.8157,26.5414,139.299,6.44687,7.65076,49.9056,0.529952,27.9867,0.00114026,train
1017,10.2531,84.9745,93.5822,87.5001,247.188,37.8185,28.79,113.902,0.557338,19.0336,0.00239668,test
1018,15.2985,28.4593,366.91,48.0275,195.106,3.52766,14.1093,191.786,0.988296,8.34229,0.000500632,train
1019,2.86396,125.482,60.1143,486.391,74.0115,7.12259,2.75363,7.12279,0.0745416,13.1384,0.00579314,train
1020,8.3062,142.552,25.1166,455.14,286.515,31.4752,32.4253,31.4759,0.0740157,5.1551,0.0376293,train
1021,2.97915,82.5501,19.2679,192.338,90.6511,16.838,1.14773,16.8476,0.103701,11.5976,0.0074347,train
1022,15.1013,38.5611,87.185,122.969,101.771,25.9914,15.4209,82.1067,0.82392,9.23942,0.00532486,train
1023,13.6956,42.6505,75.959,11.5642,54.3513,16.4475,0.842601,52.6395,0.969692,13.0488,0.000521264,train
1024,10.1995,31.4727,85.3908,6.17137,108.288,36.5713,0.477297,107.134,0.98921,13.1988,0.000184286,train
1025,19.5225,58.9893,94.7534,6.98782,258.118,14.3513,6.5389,250.836,0.979956,12.8241,0.000359934,train
1026,15.1391,115.455,25.6198,224.44,123.101,5.73243,26.0406,6.50081,0.174311,5.49172,0.0331562,train
1027,3.44498,138.488,44.1954,445.364,227.223,23.3921,9.08275,23.3923,0.066342,10.7341,0.00867891,test
1028,9.89542,46.4301,96.9947,474.401,212.996,23.9795,61.0949,66.6416,0.448158,8.85933,0.0120996,train
1029,12.7507,86.7003,22.2887,27.8332,129.561,39.1439,4.81112,68.8778,0.530943,14.9719,0.00398063,train
1030,3.87211,58.4338,391.798,9.98458,163.031,35.6818,0.891375,157.338,0.970145,59.5318,2.46692e-05,train
1031,13.7334,48.8926,221.978,6.07641,288.083,33.8275,3.46274,285.345,0.992788,15.1306,9.39843e-05,train
1032,19.9731,142.917,40.2267,324.964,259.272,38.8637,111.734,40.0339,0.168085,4.97898,0.0403374,test
1033,6.5324,48.956,249.833,93.6339,134.473,8.17364,10.3302,104.738,0.841388,26.064,0.000612063,train
1034,16.9867,36.7852,43.4194,61.0905,233.076,14.3437,24.8131,184.118,0.848035,8.19381,0.00597501,train
1035,4.82015,85.9647,373.6,449.129,287.169,12.7203,58.6186,47.5791,0.360269,26.061,0.00144865,train
1036,18.5535,52.6518,28.0262,7.14103,270.811,3.13038,6.02548,248.513,0.943967,11.6592,0.00118185,test
1037,14.7978,12.4907,69.0155,88.9281,170.55,37.2727,8.66163,164.989,0.970972,4.24932,0.00476684,test
1038,6.575,74.7087,278.926,14.52,179.67,21.9069,3.40572,166.155,0.942688,43.788,8.55683e-05,train
1039,6.34167,24.1559,17.8155,59.5557,184.036,21.0147,3.4884,112.638,0.700607,11.3753,0.0052999,train
1040,19.3063,133.124,88.0834,17.4874,198.73,11.178,21.9848,143.543,0.801126,22.8974,0.000958234,train
1041,11.9147,146.744,42.2351,32.0935,226.901,22.6521,15.1071,59.7617,0.411226,20.6702,0.00226343,train
1042,13.8705,91.5905,273.761,165.278,125.964,28.9353,44.989,80.1817,0.677271,18.5661,0.0020935,train
1043,6.75176,38.8289,15.7004,8.0833,246.776,29.2999,1.30063,201.84,0.860899,20.6648,0.000869029,train
1044,14.6687,59.4441,226.27,178.33,185.996,10.8978,71.4942,131.045,0.787257,13.5485,0.00289021,train
1045,4.91079,141.498,286.722,43.8112,117.989,10.2504,6.0085,52.3532,0.578102,67.207,0.000187593,train
1046,10.8119,85.7699,101.161,27.8682,169.798,20.1786,10.0021,125.131,0.798232,26.1275,0.000744627,train
1047,17.8316,13.5273,313.326,424.624,272.045,15.2226,106.458,260.646,0.968917,3.90905,0.00604139,test
1048,3.11862,20.0303,39.2676,200.241,131.543,13.5695,2.67082,56.0309,0.554527,14.801,0.00397578,train
1049,18.2392,106.781,50.7291,38.3317,296.608,3.59491,44.6128,136.072,0.622591,15.2024,0.00344546,train
1050,11.359,86.1128,205.31,6.40458,69.8779,33.6357,0.716181,68.3595,0.972001,30.447,8.85855e-05,test
1051,13.3054,119.005,30.556,194.198,168.608,35.8985,24.6442,37.1744,0.187005,6.87737,0.0211405,train
1052,10.1942,135.686,29.2266,28.1684,73.212,19.4461,2.47121,26.7335,0.36857,19.9915,0.00245627,train
1053,11.2962,45.5568,15.859,213.901,95.7777,28.4555,7.37641,33.2849,0.298343,5.11113,0.0380901,train
1054,15.3423,94.3865,108.245,5.14356,165.852,35.0581,3.06382,158.418,0.961978,24.6346,0.000182258,train
1055,2.85307,92.8772,58.9544,8.01159,218.891,36.2686,0.816693,129.585,0.665415,87.3117,9.69292e-05,train
1056,4.87251,10.7218,158.714,29.695,175.864,14.0929,0.871641,174.127,0.992772,9.73105,0.000227908,train
1057,4.22483,124.253,50.9819,17.8371,75.0323,27.6947,0.603025,37.2737,0.4294,50.9443,0.000369538,train
1058,6.97614,101.913,234.753,117.874,230.923,8.60986,31.8966,83.0202,0.535795,31.8451,0.000875711,test
1059,4.58926,106.714,99.5476,94.443,298.073,11.3187,13.5234,37.0739,0.321108,30.1879,0.00108848,train
1060,14.248,41.9193,316.433,19.7733,93.0157,6.7163,3.43256,91.4826,0.988082,12.6163,0.000222583,train
1061,2.26165,119.264,251.801,91.4277,64.7803,15.4289,1.25928,20.1559,0.327799,69.4714,0.000205299,train
1062,13.8249,66.8267,187.036,95.838,142.958,22.2405,28.6437,109.222,0.811066,16.4931,0.00177099,train
1063,3.41913,78.27,82.8323,57.8959,94.4546,25.3104,1.47151,39.5533,0.432496,40.0349,0.000597453,train
